Feature,Information Gain
is_sm_ips_ports,0.9892260552647583
trans_depth,0.625587594368542
res_bdy_len,0.43970813903532646
is_ftp_login,0.06621888145578969
ct_ftp_cmd,0.06013367579518436
dwin,0.02181158590414778
swin,0.02136117055184583
ct_flw_http_mthd,-0.18211590721115778
ct_state_ttl,-0.3927996215391394
dttl,-0.39707584550262265
state,-0.4585244439266962
sttl,-0.4781194970941811
proto,-0.5787980157477532
service,-0.7961681155832201
sloss,-1.3622769909712729
dloss,-1.9326553911624347
ct_dst_sport_ltm,-2.0034525170496646
Spkts,-2.4269873228042806
ct_src_dport_ltm,-2.5477404678792617
Dpkts,-2.619561527886326
srcip,-2.7683260196591135
dstip,-3.2947871142812684
ct_dst_src_ltm,-3.375064627764977
ct_dst_ltm,-3.3960684932975944
ct_src_ ltm,-3.5467359184399854
ackdat,-3.7512550470978967
dmeansz,-3.7805906989365576
smeansz,-3.844292803644528
ct_srv_dst,-3.9488732304508103
ct_srv_src,-3.992672663869567
synack,-4.294169911412486
dbytes,-4.306332899984231
tcprtt,-4.43333316778932
dsport,-4.569382335256462
sbytes,-5.0445988869598235
dtcpb,-7.059386872002668
stcpb,-7.061438189696699
Sjit,-7.485979414582451
Djit,-7.66285680203088
Dintpkt,-8.21560747555959
Dload,-8.822972017003917
sport,-9.421077311471658
Sintpkt,-9.58823826095596
dur,-10.117747248316206
Sload,-11.10360517522498
Ltime,-14.544690188525419
Stime,-14.545117847918124
