Feature,Information Gain
is_sm_ips_ports,1.8483169533089077
trans_depth,1.4846784924126915
res_bdy_len,1.2987990370794757
is_ftp_login,0.9253097794999391
ct_ftp_cmd,0.9192245738393338
dwin,0.8809024839482972
swin,0.8804520685959952
ct_flw_http_mthd,0.6769749908329916
ct_state_ttl,0.46629127650501
dttl,0.46201505254152675
state,0.4005664541174532
sttl,0.3809714009499683
proto,0.28029288229639615
service,0.0629227824609293
sloss,-0.5031860929271235
dloss,-1.0735644931182853
ct_dst_sport_ltm,-1.1443616190055155
Spkts,-1.567896424760131
ct_src_dport_ltm,-1.6886495698351125
Dpkts,-1.7604706298421766
srcip,-1.9092351216149643
dstip,-2.435696216237119
ct_dst_src_ltm,-2.5159737297208276
ct_dst_ltm,-2.536977595253445
ct_src_ ltm,-2.687645020395836
ackdat,-2.8921641490537473
dmeansz,-2.9214998008924082
smeansz,-2.9852019056003787
ct_srv_dst,-3.089782332406661
ct_srv_src,-3.1335817658254177
synack,-3.4350790133683367
dbytes,-3.447242001940082
tcprtt,-3.574242269745171
dsport,-3.7102914372123124
sbytes,-4.185507988915674
dtcpb,-6.200295973958519
stcpb,-6.20234729165255
Sjit,-6.626888516538302
Djit,-6.80376590398673
Dintpkt,-7.35651657751544
Dload,-7.963881118959766
sport,-8.561986413427508
Sintpkt,-8.72914736291181
dur,-9.258656350272057
Sload,-10.24451427718083
Ltime,-13.685599290481269
Stime,-13.686026949873975
